55	a	0	0	0	0	0.590	0.268	0.624	0.409	0.552	0.436	0.294	0.948	0.764	0.140	0.868	0.487	0.895	0.800	0.425	0.022
56	i	0	0	0	0	0.742	0.699	0.403	0.218	0.645	0.422	0.132	0.901	0.691	0.683	0.823	0.530	0.815	0.498	0.067	0.405
57	i	0	0	0	0	0.830	0.206	0.011	0.137	0.900	0.874	0.597	0.601	0.665	0.175	0.914	0.419	0.383	0.519	0.047	0.166
58	a	0	0	0	0	0.184	0.090	0.771	0.068	0.837	0.437	0.916	0.722	0.610	0.949	0.397	0.954	0.135	0.484	0.270	0.540
59	a	0	0	0	0	0.595	0.051	0.496	0.597	0.334	0.771	0.107	0.075	0.728	0.495	0.688	0.435	0.246	0.819	0.799	0.695
60	i	0	0	0	0	0.005	0.103	0.315	0.807	0.962	0.790	0.691	0.521	0.087	0.958	0.758	0.639	0.759	0.724	0.637	0.981
61	m	0	0	0	0	0.489	0.221	0.988	0.944	0.039	0.706	0.925	0.181	0.568	0.915	0.034	0.697	0.297	0.924	0.971	0.944
62	m	0	0	0	0	0.745	0.055	0.455	0.522	0.645	0.650	0.365	0.561	0.481	0.885	0.530	0.441	0.404	0.572	0.804	0.538
63	i	0	0	0	0	0.319	0.626	0.886	0.616	0.233	0.024	0.870	0.021	0.875	0.529	0.939	0.799	0.998	0.351	0.767	0.402
64	d	0	0	0	0	0.480	0.581	0.272	0.398	0.092	0.336	0.523	0.732	0.003	0.467	0.297	0.853	0.716	0.589	0.277	0.910
65	g	0	0	0	0	0.428	0.384	0.680	0.218	0.950	0.786	0.089	0.418	0.879	0.945	0.467	0.613	0.167	0.991	0.232	0.943
66	g	0	0	0	0	0.231	0.831	0.120	0.047	0.384	0.037	0.957	0.826	0.801	0.630	0.216	0.518	0.597	0.525	0.260	0.515
67	m	0	0	0	0	0.696	0.154	0.816	0.224	0.224	0.537	0.593	0.580	0.091	0.877	0.266	0.130	0.889	0.956	0.862	0.810
68	o	0	0	0	0	0.551	0.087	0.408	0.373	0.260	0.723	0.496	0.081	0.220	0.683	0.076	0.851	0.495	0.481	0.592	0.825
69	m	0	0	0	0	0.544	0.864	0.734	0.521	0.868	0.245	0.157	0.160	0.334	0.239	0.930	0.106	0.699	0.189	0.882	0.961
70	o	0	0	0	0	0.029	0.826	0.129	0.335	0.744	0.161	0.818	0.832	0.507	0.006	0.287	0.617	0.981	0.632	0.260	0.634
71	d	0	0	0	0	0.780	0.107	0.761	0.541	0.963	0.342	0.633	0.932	0.103	0.937	0.688	0.068	0.301	0.708	0.067	0.582
72	o	0	0	0	0	0.058	0.075	0.852	0.990	0.676	0.446	0.648	0.594	0.384	0.066	0.822	0.372	0.819	0.253	0.001	0.159
73	m	0	0	0	0	0.997	0.426	0.451	0.164	0.795	0.694	0.221	0.082	0.680	0.655	0.273	0.951	0.151	0.432	0.944	0.420
74	a	0	0	0	0	0.965	0.760	0.442	0.312	0.321	0.724	0.746	0.200	0.868	0.715	0.563	0.472	0.543	0.159	0.204	0.091
75	g	0	0	0	0	0.454	0.530	0.018	0.797	0.294	0.912	0.968	0.185	0.462	0.001	0.598	0.607	0.248	0.558	0.226	0.161
76	i	0	0	0	0	0.582	0.269	0.798	0.310	0.455	0.012	0.072	0.392	0.480	0.600	0.292	0.695	0.860	0.780	0.040	0.481
77	o	0	0	0	0	0.242	0.987	0.142	0.499	0.618	0.702	0.560	0.010	0.326	0.518	0.088	0.351	0.033	0.079	0.397	0.133
78	g	0	0	0	0	0.201	0.693	0.821	0.041	0.670	0.952	0.124	0.896	0.595	0.617	0.613	0.299	0.935	0.947	0.625	0.783
79	g	0	0	0	0	0.815	0.080	0.895	0.548	0.817	0.452	0.644	0.526	0.732	0.082	0.060	0.247	0.160	0.872	0.219	0.976
80	n	0	0	0	0	0.744	0.872	0.434	0.044	0.162	0.021	0.653	0.332	0.542	0.493	0.082	0.403	0.221	0.418	0.204	0.840
81	o	0	0	0	0	0.868	0.727	0.743	0.425	0.346	0.371	0.988	0.040	0.867	0.579	0.439	0.725	0.487	0.873	0.901	0.422
82	m	0	0	0	0	0.992	0.284	0.359	0.384	0.466	0.836	0.236	0.776	0.405	0.602	0.633	0.373	0.513	0.413	0.069	0.437
83	i	0	0	0	0	0.871	0.445	0.515	0.359	0.593	0.164	0.391	0.969	0.258	0.657	0.325	0.773	0.131	0.970	0.454	0.236
84	a	0	0	0	0	0.442	0.331	0.449	0.669	0.146	0.449	0.588	0.949	0.253	0.359	0.379	0.606	0.357	0.534	0.782	0.705
85	n	0	0	0	0	0.864	0.558	0.540	0.034	0.987	0.123	0.231	0.052	0.640	0.225	0.180	0.089	0.103	0.585	0.688	0.397
86	m	0	0	0	0	0.965	0.005	0.952	0.639	0.868	0.455	0.516	0.489	0.667	0.140	0.030	0.308	0.705	0.202	0.673	0.970
87	o	0	0	0	0	0.731	0.156	0.235	0.963	0.255	0.662	0.979	0.374	0.018	0.244	0.831	0.865	0.769	0.113	0.796	0.919
88	o	0	0	0	0	0.216	0.659	0.394	0.651	0.107	0.658	0.999	0.048	0.977	0.407	0.871	0.782	0.567	0.738	0.879	0.404
89	i	0	0	0	0	0.926	0.438	0.901	0.878	0.317	0.869	0.376	0.297	0.649	0.328	0.630	0.610	0.563	0.380	0.548	0.596
90	o	0	0	0	0	0.444	0.015	0.587	0.168	0.643	0.759	0.500	0.542	0.951	0.847	0.914	0.814	0.109	0.149	0.527	0.246
91	n	0	0	0	0	0.608	0.765	0.813	0.718	0.956	0.018	0.196	0.008	0.647	0.898	0.243	0.927	0.060	0.934	0.352	0.101
92	d	0	0	0	0	0.617	0.523	0.670	0.930	0.532	0.581	0.090	0.718	0.400	0.977	0.823	0.522	0.123	0.859	0.800	0.185
93	g	0	0	0	0	0.107	0.567	0.257	0.963	0.484	0.806	0.550	0.043	0.633	0.951	0.602	0.819	0.884	0.228	0.212	0.611
94	m	0	0	0	0	0.361	0.906	0.770	0.557	0.256	0.302	0.732	0.851	0.671	0.810	0.767	0.150	0.424	0.153	0.235	0.869
95	o	0	0	0	0	0.217	0.096	0.024	0.642	0.607	0.547	0.232	0.391	0.594	0.497	0.988	0.136	0.695	0.404	0.428	0.718
96	o	0	0	0	0	0.016	0.341	0.819	0.603	0.337	0.906	0.773	0.265	0.645	0.596	0.401	0.367	0.344	0.617	0.442	0.832
97	n	0	0	0	0	0.800	0.234	0.540	0.880	0.651	0.533	0.324	0.333	0.669	0.994	0.662	0.558	0.731	0.465	0.060	0.562
98	n	0	0	0	0	0.962	0.635	0.755	0.170	0.409	0.423	0.822	0.001	0.301	0.981	0.475	0.383	0.120	0.974	0.020	0.737
99	n	0	0	0	0	0.244	0.672	0.093	0.257	0.788	0.865	0.608	0.507	0.159	0.063	0.118	0.227	0.342	0.381	0.346	0.239
